,id,title,abstract,field,sdg_relation,sdg_label,text_processed
3087,e8d3e4fd704a76ee2bf7be067c83147b825e767f,The theory of polymer solutions at intermediate concentration,"It is argued that polymer solutions can be classified into three broad types which may be characterized in terms of N the total number of (micro) molecules, n the number of polymer chains, l the effective length of a micromolecule, v the excluded volume per micromolecule and V the total volume. The types are: (i) dense solutions in which V/N V/n > v or (Ll)1/2 > V/n > v according to the magnitude of v, i.e. L-1/10v-1/5l7/10 greater than 1 or less than 1, and (iii) dilute solutions in which V/n < L9/5v3/5l-3/5. The intermediate case is discussed in detail and the partial pressure of the molecules is found to be given by PV = NκT{(n/N) + ½(Nv/V) - ½π√3(N/V)½(v3/2/l3)}. A discussion is given of the way this expression fails as one enters regions (i) and (iii).",Mathematics,0,0,argued polymer solution classified three broad type may characterized term n total number micro molecule n number polymer chain l effective length micromolecule v excluded volume per micromolecule v total volume type dense solution vn vn v vn v according magnitude v ie lvl greater le iii dilute solution vn lvl intermediate case discussed detail partial pressure molecule found given pv nκtnn nvv πnvvl discussion given way expression fails one enters region iii
752,27edf732da12c2bc26a8160be74fb21728dbe8cd,Methods Used in an Automatic Logic Design Generator (ALERT),"The ALERT system converts preliminary high-level descriptions of computers into logic. The input to ALERT depicts the architecture of a proposed machine in a form of Iverson notation. As output, the architecture is ""compiled"" into Boolean equations, which may then be converted into standard computer circuits.",Computer Science,0,0,alert system convert preliminary highlevel description computer logic input alert depicts architecture proposed machine form iverson notation output architecture compiled boolean equation may converted standard computer circuit
7559,60c324b2a609a19c73abee6b182970575a719656,Anomaly-free scalar perturbations with holonomy corrections in loop quantum cosmology,"Holonomy corrections to scalar perturbations are investigated in the loop quantum cosmology framework. Due to the effective approach, modifications of the algebra of constraints generically lead to anomalies. In order to remove those anomalies, counter terms are introduced. We find a way to explicitly fulfill the conditions for anomaly freedom and we give explicit expressions for the counter terms. Surprisingly, the -scheme naturally arises in this procedure. The gauge-invariant variables are found and equations of motion for the anomaly-free scalar perturbations are derived. Finally, some cosmological consequences are discussed qualitatively.",Physics,0,0,holonomy correction scalar perturbation investigated loop quantum cosmology framework due effective approach modification algebra constraint generically lead anomaly order remove anomaly counter term introduced find way explicitly fulfill condition anomaly freedom give explicit expression counter term surprisingly scheme naturally arises procedure gaugeinvariant variable found equation motion anomalyfree scalar perturbation derived finally cosmological consequence discussed qualitatively
7504,3f49eb2528be5f355d61f7b769faa059b0b0933d,Cosmology with Mimetic Matter,"We consider minimal extensions of the recently proposed Mimetic Dark Matter and show that by introducing a potential for the mimetic non-dynamical scalar field we can mimic nearly any gravitational properties of the normal matter. In particular, the mimetic matter can provide us with inflaton, quintessence and even can lead to a bouncing nonsingular universe. We also investigate the behaviour of cosmological perturbations due to a mimetic matter. We demonstrate that simple mimetic inflation can produce red-tilted scalar perturbations which are largely enhanced over gravity waves.",Physics,0,0,consider minimal extension recently proposed mimetic dark matter show introducing potential mimetic nondynamical scalar field mimic nearly gravitational property normal matter particular mimetic matter provide u inflaton quintessence even lead bouncing nonsingular universe also investigate behaviour cosmological perturbation due mimetic matter demonstrate simple mimetic inflation produce redtilted scalar perturbation largely enhanced gravity wave
11521,a6fe9cad2e296c76377b8786439b5c2f00e3aa08,Free will and the necessity of the past,"Recanati, F. 2002. Unarticulated constituents. Linguistics and Philosophy 25: 299-345. Stanley, J. 2000. Context and logical form. Linguistics and Philosophy 23: 391-434. Stanley, J. and Z. Szabo. 2000. On quantifier domain restriction. Mind and Language 15: 219-61. Taylor, K. 2001. Sex, breakfast, and descriptus interruptus. Synthese 128: 45-61. Westertahl, D. 1985. Determiners and context sets. In Natural Language, ed. J. van Benthem and A. ter Meulen, 45-71. Dordrecht: Foris.",Philosophy,0,0,recanati f unarticulated constituent linguistics philosophy stanley j context logical form linguistics philosophy stanley j z szabo quantifier domain restriction mind language taylor k sex breakfast descriptus interruptus synthese westertahl determiner context set natural language ed j van benthem ter meulen dordrecht foris
22916,2d39ac501b807f6b502ae760550b0419fabf88a1,Essays in Collective Epistemology,PART ONE: THE DEBATE BETWEEN SUMMATIVISTS AND NON-SUMMATIVISTS PART TWO: GENERAL EPISTEMIC CONCEPTS IN THE COLLECTIVE DOMAIN PART THREE: INDIVIDUAL AND COLLECTIVE EPISTEMOLOGY PART FOUR: COLLECTIVE ENTITIES AND FORMAL EPISTEMOLOGY,Sociology,0,0,part one debate summativists nonsummativists part two general epistemic concept collective domain part three individual collective epistemology part four collective entity formal epistemology
18790,23def3b2c591259b60728ba14f3cbaffd51d21a9,Models of Disorder: The Theoretical Physics of Homogeneously Disordered Systems,Preface 1. Cellular disorder 2. Topographical disorder 3. Continuum disorder 4. The observation of disorder 5. Statistical mechanics of substitutional disorder 6. Thermodynamics of topological disorder 7. Macromolecular disorder 8. Excitations on a disordered linear chain 9. Excitations on a disordered lattice 10. Electrons in disordered metals 11. Excitations of a toplogically disordered network 12. Dilute and amorphous magnets 13. Electrons in 'gases' References Index.,Physics,0,0,preface cellular disorder topographical disorder continuum disorder observation disorder statistical mechanic substitutional disorder thermodynamics topological disorder macromolecular disorder excitation disordered linear chain excitation disordered lattice electron disordered metal excitation toplogically disordered network dilute amorphous magnet electron gas reference index
36,e7e847471231c973acf4ce4d834c4759864269ee,Compiler design in C,Basic concepts input and lexical-analysis context-free grammars top-down parsing bottom-up parsing code generation - implementing a small C++ compiler optimization strategies.,Computer Science,0,0,basic concept input lexicalanalysis contextfree grammar topdown parsing bottomup parsing code generation implementing small c compiler optimization strategy
19117,631d14c519fd63c03ac08e16bd05664a9839107e,A Unified Resource for Tracking Anti-CRISPR Names.,"Author(s): Bondy-Denomy, Joseph; Davidson, Alan R; Doudna, Jennifer A; Fineran, Peter C; Maxwell, Karen L; Moineau, Sylvain; Peng, Xu; Sontheimer, Eric J; Wiedenheft, Blake",Medicine;Philosophy,0,0,author bondydenomy joseph davidson alan r doudna jennifer fineran peter c maxwell karen l moineau sylvain peng xu sontheimer eric j wiedenheft blake
12404,be439dc612a146298d0fc2b4733fc17b0f74d288,Averting the magnetic braking catastrophe on small scales: disk formation due to Ohmic dissipation Corrigendum,"We perform axisymmetric resistive MHD calculations that demonstrate that centrifugal disks can indeed form around Class 0 objects despite magnetic braking. We follow the evolution of a prestellar core all the way to near-stellar densities and stellar radii. Under fluxfreezing, the core is braked and disk formation is inhibited, while Ohmic dissipation renders magnetic braking ineffective within the first core. In agreement with observations that do not show evidence for large disks around Class 0 objects, the resultant disk forms in ∂",Physics,0,0,perform axisymmetric resistive mhd calculation demonstrate centrifugal disk indeed form around class object despite magnetic braking follow evolution prestellar core way nearstellar density stellar radius fluxfreezing core braked disk formation inhibited ohmic dissipation render magnetic braking ineffective within first core agreement observation show evidence large disk around class object resultant disk form
